mode,dataset_index,gold_answer,greedy_prediction,greedy_correct,valid_format,thinking_words,reflection_words,sc_n1_prediction,sc_n1_correct,sc_n3_prediction,sc_n3_correct,sc_n5_prediction,sc_n5_correct,sc_n7_prediction,sc_n7_correct,sc_n10_prediction,sc_n10_correct
base,1301,23,23,True,True,176,27,24,False,24,False,23,True,23,True,23,True
base,1309,2280,2180,False,False,0,37,2180,False,2180,False,2180,False,2180,False,2180,False
base,1310,64,32,False,True,150,28,,False,,False,8,False,8,False,8,False
base,1316,230,160,False,False,0,12,230,True,230,True,230,True,230,True,230,True
adapter,13,18,,False,False,0,0,,False,,False,,False,,False,,False
adapter,51,5,5,True,True,238,72,,False,,False,,False,,False,5,True
adapter,54,40,,False,False,0,0,40,True,40,True,40,True,40,True,40,True
adapter,61,1430,,False,False,171,98,,False,1430,True,1430,True,1430,True,1430,True
adapter,65,36,36,True,True,211,83,36,True,36,True,36,True,36,True,36,True
adapter,88,8000,,False,False,188,0,8000,True,8000,True,8000,True,8000,True,8000,True
adapter,93,36,,False,False,0,0,,False,,False,,False,36,True,36,True
adapter,114,6,,False,False,0,0,,False,,False,,False,,False,,False
adapter,135,40,,False,False,0,0,,False,,False,,False,,False,,False
adapter,142,140,140,True,True,212,53,,False,140,True,140,True,140,True,140,True
adapter,146,2125,,False,False,0,0,,False,,False,,False,,False,,False
adapter,161,32,,False,False,224,0,,False,,False,,False,,False,,False
adapter,163,50,,False,False,289,0,,False,,False,,False,,False,,False
adapter,178,122,122,True,True,187,81,,False,,False,122,True,122,True,122,True
adapter,189,34,,False,False,0,0,,False,,False,,False,,False,,False
adapter,191,5,5,True,True,172,48,,False,5,True,5,True,5,True,5,True
adapter,198,320,,False,False,0,0,,False,,False,,False,,False,,False
adapter,206,860,,False,False,271,0,,False,,False,,False,,False,,False
adapter,209,145,,False,False,0,0,,False,,False,,False,,False,,False
adapter,228,1,1,True,True,191,91,,False,,False,,False,,False,,False
adapter,255,192,,False,False,277,0,,False,,False,,False,,False,,False
adapter,285,21,21,True,True,111,68,21,True,21,True,21,True,21,True,21,True
adapter,292,75,90,False,True,191,69,,False,,False,,False,,False,90,False
adapter,318,123,,False,False,224,0,,False,123,True,123,True,123,True,123,True
adapter,326,14,14,True,True,277,48,14,True,14,True,14,True,14,True,14,True
adapter,333,100,,False,False,193,0,,False,,False,,False,,False,100,True
adapter,334,6,,False,False,0,0,6,True,6,True,6,True,6,True,6,True
adapter,350,8,,False,False,0,0,,False,,False,,False,,False,8,True
adapter,393,20,,False,False,0,0,,False,,False,,False,,False,,False
adapter,407,2000,,False,False,239,0,,False,,False,,False,,False,,False
adapter,429,13,13,True,True,186,74,,False,13,True,13,True,13,True,13,True
adapter,432,30,,False,False,200,0,,False,30,True,30,True,30,True,30,True
adapter,435,5,5,True,True,122,47,5,True,5,True,5,True,5,True,5,True
adapter,440,98,98,True,True,261,58,,False,,False,98,True,98,True,98,True
adapter,447,5,,False,False,208,0,,False,,False,5,True,5,True,5,True
adapter,449,112,112,True,True,193,73,112,True,112,True,112,True,112,True,112,True
adapter,451,11050,,False,False,238,0,,False,11050,True,11050,True,11050,True,11050,True
adapter,457,45,,False,False,242,0,45,True,45,True,45,True,45,True,45,True
adapter,466,1,,False,False,0,0,,False,,False,,False,1,True,1,True
adapter,469,4,4,True,True,245,51,4,True,4,True,4,True,4,True,4,True
adapter,476,5,5,True,True,227,42,,False,5,True,5,True,5,True,5,True
adapter,501,273,,False,False,225,0,,False,,False,273,True,273,True,273,True
adapter,505,1600,,False,False,0,0,,False,,False,,False,,False,,False
adapter,538,18,18,True,True,153,74,18,True,18,True,18,True,18,True,18,True
adapter,541,50,,False,False,0,0,,False,,False,,False,,False,,False
adapter,542,7,,False,False,0,0,7,True,7,True,7,True,7,True,7,True
adapter,546,130,,False,False,282,0,,False,,False,65,False,65,False,65,False
adapter,548,100,40,False,True,209,59,,False,,False,,False,,False,40,False
adapter,552,450,,False,False,218,0,,False,,False,,False,,False,,False
adapter,563,12,,False,False,0,0,,False,,False,,False,,False,,False
adapter,569,21,21,True,True,189,66,21,True,21,True,21,True,21,True,21,True
adapter,592,1,1,True,True,207,65,1,True,1,True,1,True,1,True,1,True
adapter,600,10,,False,False,292,0,10,True,10,True,10,True,10,True,10,True
adapter,644,29,,False,False,0,0,,False,,False,29,True,29,True,29,True
adapter,646,79,,False,False,223,0,,False,,False,,False,,False,,False
adapter,664,32,,False,False,248,0,,False,,False,,False,,False,,False
adapter,689,7,,False,False,0,0,,False,,False,,False,,False,,False
adapter,696,145,,False,False,0,0,,False,,False,,False,,False,,False
adapter,704,50,50,True,True,177,112,50,True,50,True,50,True,50,True,50,True
adapter,727,112,,False,False,0,0,,False,,False,,False,,False,,False
adapter,735,50,,False,False,0,0,,False,,False,,False,,False,,False
adapter,740,25,,False,False,0,0,,False,,False,,False,,False,,False
adapter,747,350,350,True,True,183,70,350,True,350,True,350,True,350,True,350,True
adapter,758,133,133,True,True,142,53,133,True,133,True,133,True,133,True,133,True
adapter,775,276,,False,False,250,0,,False,,False,,False,,False,,False
adapter,777,4400,,False,False,0,0,,False,,False,,False,,False,,False
adapter,778,38,,False,False,0,0,38,True,38,True,38,True,38,True,38,True
adapter,810,310,310,True,True,230,83,,False,,False,,False,,False,,False
adapter,821,35,35,True,True,216,49,,False,,False,,False,35,True,35,True
adapter,859,1520,,False,False,215,0,,False,,False,,False,,False,,False
adapter,864,80,,False,False,242,0,80,True,80,True,80,True,80,True,80,True
adapter,865,23,,False,False,295,0,,False,,False,,False,,False,,False
adapter,919,90,,False,False,228,0,,False,,False,,False,90,True,90,True
adapter,928,60,,False,False,0,0,,False,,False,,False,,False,,False
adapter,939,650,,False,False,280,0,,False,,False,650,True,650,True,650,True
adapter,940,280,280,True,True,200,45,,False,280,True,280,True,280,True,280,True
adapter,946,450,450,True,True,184,59,450,True,450,True,450,True,450,True,450,True
adapter,1022,12,,False,False,0,0,,False,,False,,False,,False,,False
adapter,1034,66,66,True,True,213,46,66,True,66,True,66,True,66,True,66,True
adapter,1093,144,,False,False,0,0,,False,,False,,False,,False,,False
adapter,1098,30,30,True,True,228,75,30,True,30,True,30,True,30,True,30,True
adapter,1103,90,90,True,True,242,45,,False,,False,,False,,False,,False
adapter,1116,60,60,True,True,145,53,60,True,60,True,60,True,60,True,60,True
adapter,1130,25,,False,False,0,0,,False,,False,,False,,False,,False
adapter,1140,27,,False,False,0,0,,False,,False,,False,,False,,False
adapter,1149,93,93,True,True,170,70,93,True,93,True,93,True,93,True,93,True
adapter,1161,170,,False,False,0,0,,False,,False,,False,,False,,False
adapter,1182,1800,,False,False,0,0,,False,,False,,False,,False,,False
adapter,1206,40000,,False,False,0,0,,False,,False,,False,,False,,False
adapter,1209,29,,False,False,0,0,,False,35,False,35,False,35,False,35,False
adapter,1232,15,,False,False,232,0,15,True,15,True,15,True,15,True,15,True
adapter,1236,84,,False,False,0,0,,False,,False,,False,,False,,False
adapter,1247,7,,False,False,250,0,,False,7,True,7,True,7,True,7,True
adapter,1266,147,,False,False,270,0,,False,,False,,False,,False,,False
adapter,1287,84,,False,False,216,0,,False,,False,,False,,False,,False
adapter,1300,120,,False,False,288,0,,False,,False,,False,,False,,False
adapter,1301,23,,False,False,215,0,,False,,False,,False,,False,,False
adapter,1309,2280,,False,False,0,0,,False,,False,,False,,False,,False
adapter,1310,64,,False,False,298,0,,False,,False,,False,,False,,False
adapter,1316,230,,False,False,263,0,,False,,False,,False,230,True,230,True
