split,row,original_length,prompt_length,trained_tokens,was_truncated
train,246,609,139,470,False
train,247,734,167,567,False
train,248,599,133,466,False
train,249,2851,216,808,True
train,250,666,118,548,False
train,251,1028,137,887,True
train,252,692,126,566,False
train,253,551,157,394,False
train,254,636,120,516,False
train,255,757,116,641,False
train,256,881,138,743,False
train,257,735,122,613,False
train,258,476,113,363,False
train,259,898,130,768,False
train,260,831,168,663,False
train,261,568,130,438,False
train,262,1037,118,906,True
train,263,657,131,526,False
train,264,646,159,487,False
train,265,1093,181,843,True
train,266,3814,135,889,True
train,267,764,170,594,False
train,268,642,120,522,False
train,269,766,124,642,False
train,270,689,115,574,False
train,271,863,134,729,False
train,272,567,129,438,False
train,273,471,117,354,False
train,274,708,127,581,False
train,275,606,113,493,False
train,276,740,151,589,False
train,277,513,141,372,False
train,278,1643,161,863,True
train,279,787,152,635,False
train,280,985,175,810,False
train,281,1155,126,898,True
train,282,878,142,736,False
train,283,676,169,507,False
train,284,725,117,608,False
train,285,1254,153,871,True
train,286,678,143,535,False
train,287,673,145,528,False
train,288,513,126,387,False
train,289,669,162,507,False
train,290,498,120,378,False
train,291,1518,151,873,True
train,292,668,168,500,False
train,293,761,179,582,False
train,294,678,115,563,False
train,295,734,142,592,False
train,296,508,131,377,False
train,297,858,157,701,False
train,298,948,134,814,False
train,299,1006,128,878,False
train,300,757,126,631,False
train,301,644,118,526,False
train,302,581,122,459,False
train,303,1008,181,827,False
train,304,937,176,761,False
train,305,3335,152,872,True
train,306,639,123,516,False
train,307,606,125,481,False
train,308,572,126,446,False
train,309,1092,228,796,True
train,310,942,177,765,False
train,311,1638,172,852,True
train,312,1279,158,866,True
train,313,595,119,476,False
train,314,493,117,376,False
train,315,743,129,614,False
train,316,594,124,470,False
train,317,1004,172,832,False
train,318,428,133,295,False
train,319,824,183,641,False
train,320,1498,191,833,True
train,321,434,129,305,False
train,322,653,114,539,False
train,323,1597,161,863,True
train,324,767,174,593,False
train,325,809,170,639,False
train,326,1041,185,839,True
train,327,1056,144,880,True
train,328,659,117,542,False
train,329,683,172,511,False
train,330,917,238,679,False
train,331,531,125,406,False
train,332,591,118,473,False
train,333,550,116,434,False
train,334,795,152,643,False
train,335,656,119,537,False
train,336,765,126,639,False
train,337,464,116,348,False
train,338,504,128,376,False
train,339,594,137,457,False
train,340,606,142,464,False
train,341,1040,135,889,True
train,342,579,120,459,False
train,343,992,170,822,False
train,344,556,132,424,False
train,345,1383,129,895,True
train,346,674,126,548,False
train,347,815,136,679,False
train,348,1731,133,891,True
train,349,366,121,245,False
train,350,750,136,614,False
train,351,958,169,789,False
train,352,480,144,336,False
train,353,974,125,849,False
train,354,585,148,437,False
train,355,530,116,414,False
train,356,952,147,805,False
train,357,572,127,445,False
train,358,1153,180,844,True
train,359,655,123,532,False
train,360,487,118,369,False
train,361,706,131,575,False
train,362,604,160,444,False
train,363,672,123,549,False
train,364,448,132,316,False
train,365,734,143,591,False
train,366,613,117,496,False
train,367,595,137,458,False
train,368,1099,149,875,True
train,369,486,145,341,False
train,370,625,144,481,False
train,371,653,155,498,False
train,372,805,146,659,False
train,373,691,115,576,False
train,374,559,148,411,False
train,375,1245,185,839,True
train,376,517,138,379,False
train,377,696,162,534,False
train,378,1244,166,858,True
train,379,693,136,557,False
train,380,830,116,714,False
train,381,691,163,528,False
train,382,2829,156,868,True
train,383,647,139,508,False
train,384,626,147,479,False
train,385,657,141,516,False
train,386,835,114,721,False
train,387,917,123,794,False
train,388,859,134,725,False
train,389,499,132,367,False
train,390,591,124,467,False
train,391,858,161,697,False
train,392,1167,129,895,True
train,393,421,141,280,False
train,394,719,121,598,False
train,395,699,151,548,False
train,396,870,117,753,False
train,397,678,164,514,False
train,398,475,138,337,False
train,399,689,124,565,False
train,400,431,140,291,False
train,401,578,112,466,False
train,402,784,126,658,False
train,403,579,120,459,False
train,404,719,190,529,False
train,405,815,175,640,False
train,406,793,125,668,False
train,407,1076,195,829,True
train,408,397,122,275,False
train,409,614,124,490,False
train,410,676,139,537,False
train,411,756,145,611,False
train,412,929,138,791,False
train,413,682,127,555,False
train,414,837,146,691,False
train,415,765,126,639,False
train,416,973,127,846,False
train,417,831,136,695,False
train,418,469,118,351,False
train,419,626,122,504,False
train,420,756,119,637,False
train,421,958,135,823,False
train,422,651,159,492,False
train,423,669,153,516,False
train,424,864,180,684,False
train,425,672,120,552,False
train,426,705,140,565,False
train,427,890,141,749,False
train,428,810,137,673,False
train,429,434,117,317,False
train,430,508,172,336,False
train,431,632,130,502,False
train,432,957,191,766,False
train,433,926,191,735,False
train,434,1714,134,890,True
train,435,974,180,794,False
train,436,1022,136,886,False
train,437,1298,181,843,True
train,438,751,140,611,False
train,439,476,125,351,False
train,440,861,152,709,False
train,441,1045,139,885,True
train,442,602,133,469,False
train,443,516,115,401,False
train,444,780,142,638,False
train,445,604,128,476,False
train,446,596,132,464,False
train,447,844,152,692,False
train,448,855,141,714,False
train,449,836,124,712,False
train,450,679,144,535,False
train,451,537,123,414,False
train,452,567,139,428,False
train,453,1191,188,836,True
train,454,681,124,557,False
train,455,1091,143,881,True
train,456,576,113,463,False
train,457,838,128,710,False
train,458,1033,180,844,True
train,459,795,132,663,False
train,460,942,152,790,False
train,461,664,160,504,False
train,462,846,135,711,False
train,463,760,158,602,False
train,464,767,134,633,False
train,465,562,158,404,False
train,466,536,140,396,False
train,467,728,139,589,False
train,468,712,132,580,False
train,469,429,106,323,False
train,470,708,149,559,False
train,471,817,160,657,False
train,472,1118,137,887,True
train,473,764,147,617,False
train,474,453,132,321,False
train,475,2056,165,859,True
train,476,811,120,691,False
train,477,1187,170,854,True
train,478,674,128,546,False
train,479,690,144,546,False
train,480,1495,128,896,True
train,481,1934,169,855,True
train,482,666,154,512,False
train,483,852,152,700,False
train,484,651,136,515,False
train,485,521,127,394,False
train,486,840,153,687,False
train,487,919,144,775,False
train,488,750,186,564,False
train,489,948,135,813,False
train,490,610,121,489,False
train,491,1279,138,886,True
train,492,443,113,330,False
train,493,511,119,392,False
train,494,695,123,572,False
train,495,700,134,566,False
train,496,840,140,700,False
train,497,674,138,536,False
train,498,481,105,376,False
train,499,638,139,499,False
train,500,529,176,353,False
train,501,681,147,534,False
train,502,537,124,413,False
train,503,786,163,623,False
train,504,582,116,466,False
train,505,818,178,640,False
train,506,504,111,393,False
train,507,709,127,582,False
train,508,670,118,552,False
train,509,4335,132,892,True
train,510,687,130,557,False
train,511,764,114,650,False
train,512,820,145,675,False
train,513,772,142,630,False
train,514,874,170,704,False
train,515,913,160,753,False
train,516,672,126,546,False
train,517,656,130,526,False
train,518,909,248,661,False
train,519,1155,134,890,True
train,520,679,151,528,False
train,521,699,146,553,False
train,522,650,141,509,False
train,523,879,143,736,False
train,524,538,143,395,False
train,525,1481,243,781,True
train,526,534,151,383,False
train,527,722,134,588,False
train,528,834,164,670,False
train,529,803,121,682,False
train,530,593,136,457,False
train,531,874,123,751,False
train,532,680,129,551,False
train,533,687,127,560,False
train,534,676,138,538,False
train,535,466,131,335,False
train,536,634,147,487,False
train,537,763,165,598,False
train,538,693,133,560,False
train,539,638,129,509,False
train,540,1510,139,885,True
train,541,891,133,758,False
train,542,574,132,442,False
train,543,495,134,361,False
train,544,565,134,431,False
train,545,617,138,479,False
train,546,880,131,749,False
train,547,1134,175,849,True
train,548,639,161,478,False
train,549,1810,169,855,True
train,550,841,148,693,False
train,551,860,147,713,False
train,552,606,130,476,False
train,553,791,188,603,False
train,554,613,120,493,False
train,555,696,137,559,False
train,556,431,117,314,False
train,557,799,175,624,False
train,558,624,160,464,False
train,559,649,159,490,False
train,560,732,148,584,False
train,561,739,135,604,False
train,562,669,134,535,False
train,563,674,156,518,False
train,564,486,133,353,False
train,565,499,111,388,False
train,566,533,141,392,False
train,567,815,153,662,False
train,568,908,140,768,False
train,569,636,137,499,False
train,570,1207,147,877,True
train,571,758,133,625,False
train,572,740,144,596,False
train,573,1577,223,801,True
train,574,589,139,450,False
train,575,660,127,533,False
train,576,513,133,380,False
train,577,454,119,335,False
train,578,533,113,420,False
train,579,672,113,559,False
train,580,626,115,511,False
train,581,527,133,394,False
train,582,4996,117,907,True
train,583,468,161,307,False
train,584,853,127,726,False
train,585,917,134,783,False
train,586,683,134,549,False
train,587,607,143,464,False
train,588,924,166,758,False
train,589,684,133,551,False
train,590,1780,132,892,True
train,591,547,126,421,False
train,592,855,137,718,False
train,593,792,160,632,False
train,594,655,131,524,False
train,595,825,140,685,False
train,596,978,133,845,False
train,597,732,142,590,False
train,598,1566,168,856,True
train,599,822,147,675,False
train,600,828,133,695,False
train,601,553,131,422,False
train,602,488,125,363,False
train,603,1128,137,887,True
train,604,2189,160,864,True
train,605,1038,148,876,True
train,606,1176,130,894,True
train,607,997,138,859,False
train,608,704,126,578,False
train,609,741,118,623,False
train,610,806,130,676,False
train,611,644,123,521,False
train,612,460,124,336,False
train,613,552,123,429,False
train,614,524,119,405,False
train,615,835,172,663,False
train,616,798,173,625,False
train,617,768,140,628,False
train,618,757,166,591,False
train,619,631,153,478,False
train,620,721,185,536,False
train,621,963,183,780,False
train,622,801,151,650,False
train,623,1024,181,843,False
train,624,762,128,634,False
train,625,443,153,290,False
train,626,554,143,411,False
train,627,631,144,487,False
train,628,833,165,668,False
train,629,803,142,661,False
train,630,676,135,541,False
train,631,861,147,714,False
train,632,800,180,620,False
train,633,861,129,732,False
train,634,1143,131,893,True
train,635,1215,162,862,True
train,636,748,123,625,False
train,637,2534,140,884,True
train,638,574,172,402,False
train,639,564,108,456,False
train,640,580,177,403,False
train,641,1068,111,913,True
train,642,1089,152,872,True
train,643,1505,171,853,True
train,644,702,126,576,False
train,645,657,139,518,False
train,646,1015,131,884,False
train,647,703,135,568,False
train,648,1021,160,861,False
train,649,752,157,595,False
train,650,612,132,480,False
train,651,560,133,427,False
train,652,709,136,573,False
train,653,563,130,433,False
train,654,555,135,420,False
train,655,962,144,818,False
train,656,688,117,571,False
train,657,1655,152,872,True
train,658,660,118,542,False
train,659,1247,132,892,True
train,660,1155,157,867,True
train,661,784,138,646,False
train,662,633,196,437,False
train,663,1099,170,854,True
train,664,642,138,504,False
train,665,484,125,359,False
train,666,582,134,448,False
train,667,746,122,624,False
train,668,761,147,614,False
train,669,453,128,325,False
train,670,1131,142,882,True
train,671,407,124,283,False
train,672,458,124,334,False
train,673,1435,162,862,True
train,674,6232,100,924,True
train,675,405,138,267,False
train,676,605,122,483,False
train,677,932,129,803,False
train,678,936,167,769,False
train,679,604,126,478,False
train,680,681,125,556,False
train,681,884,145,739,False
train,682,1735,145,879,True
train,683,531,115,416,False
train,684,507,122,385,False
train,685,644,118,526,False
train,686,792,149,643,False
train,687,789,135,654,False
train,688,547,140,407,False
train,689,1059,126,898,True
train,690,401,127,274,False
train,691,746,140,606,False
train,692,954,150,804,False
train,693,443,128,315,False
train,694,768,125,643,False
train,695,430,124,306,False
train,696,698,126,572,False
train,697,569,117,452,False
train,698,725,175,550,False
train,699,551,128,423,False
train,700,691,109,582,False
train,701,368,120,248,False
train,702,1565,160,864,True
train,703,1237,128,896,True
train,704,1139,116,908,True
train,705,541,127,414,False
train,706,564,110,454,False
train,707,728,139,589,False
train,708,1217,125,899,True
train,709,586,124,462,False
train,710,489,127,362,False
train,711,799,125,674,False
train,712,772,124,648,False
train,713,1309,150,874,True
train,714,773,132,641,False
train,715,683,125,558,False
train,716,647,153,494,False
train,717,730,160,570,False
train,718,1156,187,837,True
train,719,600,136,464,False
train,720,540,129,411,False
train,721,725,127,598,False
train,722,577,124,453,False
train,723,865,141,724,False
train,724,718,119,599,False
train,725,524,119,405,False
train,726,741,170,571,False
train,727,666,112,554,False
train,728,539,129,410,False
train,729,751,139,612,False
train,730,592,143,449,False
train,731,1142,113,911,True
train,732,601,119,482,False
train,733,5546,180,844,True
train,734,1796,161,863,True
train,735,775,134,641,False
train,736,463,113,350,False
train,737,468,124,344,False
train,738,742,191,551,False
train,739,411,120,291,False
train,740,748,147,601,False
train,741,759,149,610,False
train,742,471,133,338,False
train,743,543,151,392,False
train,744,526,152,374,False
train,745,562,116,446,False
train,746,501,119,382,False
train,747,705,142,563,False
train,748,732,137,595,False
train,749,465,146,319,False
train,750,890,151,739,False
train,751,1251,154,870,True
train,752,856,144,712,False
train,753,838,140,698,False
train,754,820,132,688,False
train,755,939,151,788,False
train,756,816,177,639,False
train,757,1527,141,883,True
train,758,899,162,737,False
train,759,855,183,672,False
train,760,524,124,400,False
train,761,532,133,399,False
train,762,654,128,526,False
train,763,911,121,790,False
train,764,529,125,404,False
train,765,752,124,628,False
train,766,428,127,301,False
train,767,1924,136,888,True
train,768,751,106,645,False
train,769,526,137,389,False
train,770,625,138,487,False
train,771,598,130,468,False
train,772,1544,187,837,True
train,773,510,135,375,False
train,774,527,145,382,False
train,775,610,119,491,False
train,776,611,129,482,False
train,777,535,128,407,False
train,778,669,131,538,False
train,779,728,130,598,False
train,780,565,138,427,False
train,781,776,130,646,False
train,782,652,138,514,False
train,783,702,127,575,False
train,784,782,147,635,False
train,785,571,117,454,False
train,786,438,117,321,False
train,787,840,118,722,False
train,788,2772,143,881,True
train,789,857,129,728,False
train,790,668,116,552,False
train,791,569,148,421,False
train,792,602,116,486,False
train,793,664,139,525,False
train,794,1098,136,888,True
train,795,637,154,483,False
train,796,792,149,643,False
train,797,759,187,572,False
train,798,465,129,336,False
train,799,1677,156,868,True
train,800,1046,151,873,True
train,801,516,110,406,False
train,802,763,154,609,False
train,803,693,138,555,False
train,804,400,116,284,False
train,805,578,156,422,False
train,806,675,123,552,False
train,807,745,141,604,False
train,808,971,207,764,False
train,809,860,214,646,False
train,810,870,156,714,False
train,811,651,122,529,False
train,812,863,169,694,False
train,813,810,145,665,False
train,814,700,121,579,False
train,815,383,121,262,False
train,816,559,165,394,False
train,817,939,139,800,False
train,818,689,158,531,False
train,819,610,132,478,False
train,820,842,136,706,False
train,821,3053,164,860,True
train,822,963,185,778,False
train,823,588,114,474,False
train,824,1273,131,893,True
train,825,912,141,771,False
train,826,784,140,644,False
train,827,726,122,604,False
train,828,923,178,745,False
train,829,780,137,643,False
train,830,587,134,453,False
train,831,698,139,559,False
train,832,886,128,758,False
train,833,1287,132,892,True
train,834,1619,172,852,True
train,835,593,115,478,False
train,836,960,153,807,False
train,837,678,136,542,False
train,838,4118,138,886,True
train,839,881,150,731,False
train,840,1040,119,905,True
train,841,480,129,351,False
train,842,515,121,394,False
train,843,622,120,502,False
train,844,1342,127,897,True
train,845,572,116,456,False
train,846,622,136,486,False
train,847,775,158,617,False
train,848,900,150,750,False
train,849,772,142,630,False
train,850,750,126,624,False
train,851,820,128,692,False
train,852,690,109,581,False
train,853,861,153,708,False
train,854,801,111,690,False
train,855,606,119,487,False
train,856,713,129,584,False
train,857,895,127,768,False
train,858,598,105,493,False
train,859,499,145,354,False
train,860,794,127,667,False
train,861,677,126,551,False
train,862,625,134,491,False
train,863,830,121,709,False
train,864,962,149,813,False
train,865,507,107,400,False
train,866,687,143,544,False
train,867,917,141,776,False
train,868,628,123,505,False
train,869,1066,249,775,True
train,870,447,132,315,False
train,871,922,161,761,False
train,872,604,122,482,False
train,873,610,134,476,False
train,874,428,109,319,False
train,875,529,173,356,False
train,876,719,137,582,False
train,877,462,114,348,False
train,878,822,137,685,False
train,879,670,122,548,False
train,880,2785,124,900,True
train,881,1785,167,857,True
train,882,684,119,565,False
train,883,937,157,780,False
train,884,620,145,475,False
train,885,376,132,244,False
train,886,673,133,540,False
train,887,656,162,494,False
train,888,827,147,680,False
train,889,780,161,619,False
train,890,755,142,613,False
train,891,622,121,501,False
train,892,547,124,423,False
train,893,516,125,391,False
train,894,969,140,829,False
train,895,591,140,451,False
train,896,835,134,701,False
train,897,712,124,588,False
train,898,517,159,358,False
train,899,619,165,454,False
train,900,834,131,703,False
train,901,1216,118,906,True
train,902,638,136,502,False
train,903,731,114,617,False
train,904,1848,179,845,True
train,905,422,124,298,False
train,906,738,118,620,False
train,907,615,141,474,False
train,908,680,156,524,False
train,909,1216,186,838,True
train,910,637,152,485,False
train,911,911,155,756,False
train,912,850,174,676,False
train,913,795,157,638,False
train,914,464,127,337,False
train,915,1282,123,901,True
train,916,700,131,569,False
train,917,635,147,488,False
train,918,670,177,493,False
train,919,638,122,516,False
train,920,750,146,604,False
train,921,774,174,600,False
train,922,548,163,385,False
train,923,1027,133,891,True
train,924,478,123,355,False
train,925,610,125,485,False
train,926,715,147,568,False
train,927,632,163,469,False
train,928,805,194,611,False
train,929,758,146,612,False
train,930,685,124,561,False
train,931,1015,154,861,False
train,932,824,139,685,False
train,933,516,115,401,False
train,934,840,161,679,False
train,935,824,161,663,False
train,936,981,158,823,False
train,937,622,172,450,False
train,938,1566,121,903,True
train,939,587,135,452,False
train,940,681,131,550,False
train,941,341,124,217,False
train,942,483,148,335,False
train,943,928,125,803,False
train,944,708,138,570,False
train,945,678,131,547,False
train,946,678,134,544,False
train,947,693,146,547,False
train,948,645,132,513,False
train,949,725,128,597,False
train,950,1053,150,874,True
train,951,660,137,523,False
train,952,1265,183,841,True
train,953,731,126,605,False
train,954,604,129,475,False
train,955,839,161,678,False
train,956,959,175,784,False
train,957,839,126,713,False
train,958,826,126,700,False
train,959,628,130,498,False
train,960,618,126,492,False
train,961,919,135,784,False
train,962,785,121,664,False
train,963,851,160,691,False
train,964,958,122,836,False
train,965,661,132,529,False
train,966,573,117,456,False
train,967,827,124,703,False
train,968,966,206,760,False
train,969,1213,155,869,True
train,970,555,163,392,False
train,971,560,192,368,False
train,972,938,149,789,False
train,973,711,153,558,False
train,974,928,159,769,False
train,975,647,112,535,False
train,976,862,153,709,False
train,977,478,130,348,False
train,978,586,126,460,False
train,979,805,164,641,False
train,980,1278,115,909,True
train,981,499,121,378,False
train,982,851,132,719,False
train,983,710,148,562,False
train,984,1043,157,867,True
train,985,601,149,452,False
train,986,964,205,759,False
train,987,592,150,442,False
train,988,580,163,417,False
train,989,553,132,421,False
train,990,453,118,335,False
train,991,541,113,428,False
train,992,788,210,578,False
train,993,731,144,587,False
train,994,849,138,711,False
train,995,613,124,489,False
train,996,632,129,503,False
train,997,885,131,754,False
train,998,846,186,660,False
train,999,874,138,736,False
train,1000,1040,166,858,True
train,1001,920,135,785,False
train,1002,683,123,560,False
train,1003,575,118,457,False
train,1004,764,117,647,False
train,1005,738,124,614,False
train,1006,1119,153,871,True
train,1007,492,136,356,False
train,1008,789,133,656,False
train,1009,841,155,686,False
train,1010,709,146,563,False
train,1011,572,116,456,False
train,1012,829,165,664,False
train,1013,1001,167,834,False
train,1014,839,146,693,False
train,1015,569,128,441,False
train,1016,850,145,705,False
train,1017,456,129,327,False
train,1018,715,165,550,False
train,1019,962,116,846,False
train,1020,965,141,824,False
train,1021,676,120,556,False
train,1022,480,142,338,False
train,1023,982,145,837,False
train,1024,928,154,774,False
train,1025,771,149,622,False
train,1026,416,116,300,False
train,1027,1183,217,807,True
train,1028,597,179,418,False
train,1029,707,136,571,False
train,1030,706,139,567,False
train,1031,1027,165,859,True
train,1032,733,152,581,False
train,1033,611,128,483,False
train,1034,3596,144,880,True
train,1035,2175,155,869,True
train,1036,523,135,388,False
train,1037,595,118,477,False
train,1038,740,141,599,False
train,1039,675,123,552,False
train,1040,1794,144,880,True
train,1041,723,215,508,False
train,1042,929,221,708,False
train,1043,1182,131,893,True
train,1044,1298,129,895,True
train,1045,626,151,475,False
train,1046,2738,173,851,True
train,1047,624,131,493,False
train,1048,618,131,487,False
train,1049,686,126,560,False
train,1050,611,159,452,False
train,1051,607,129,478,False
train,1052,807,132,675,False
train,1053,678,123,555,False
train,1054,469,145,324,False
train,1055,693,123,570,False
train,1056,757,144,613,False
train,1057,802,168,634,False
train,1058,584,119,465,False
train,1059,729,152,577,False
train,1060,771,155,616,False
train,1061,949,139,810,False
train,1062,1589,119,905,True
train,1063,944,148,796,False
train,1064,676,113,563,False
train,1065,697,150,547,False
train,1066,1292,184,840,True
train,1067,523,122,401,False
train,1068,561,133,428,False
train,1069,901,197,704,False
train,1070,1017,132,885,False
train,1071,518,149,369,False
train,1072,1040,170,854,True
train,1073,301,115,186,False
train,1074,1692,124,900,True
train,1075,844,149,695,False
train,1076,507,130,377,False
train,1077,966,130,836,False
train,1078,622,122,500,False
train,1079,865,142,723,False
train,1080,1427,139,885,True
train,1081,542,119,423,False
train,1082,664,145,519,False
train,1083,1048,136,888,True
train,1084,604,113,491,False
train,1085,500,121,379,False
train,1086,584,127,457,False
train,1087,1037,157,867,True
train,1088,810,135,675,False
train,1089,677,131,546,False
train,1090,468,113,355,False
train,1091,1162,174,850,True
train,1092,503,149,354,False
train,1093,786,150,636,False
train,1094,772,171,601,False
train,1095,846,138,708,False
train,1096,785,134,651,False
train,1097,732,133,599,False
train,1098,736,149,587,False
train,1099,994,131,863,False
train,1100,460,202,258,False
train,1101,1188,144,880,True
train,1102,553,134,419,False
train,1103,488,124,364,False
train,1104,928,179,749,False
train,1105,774,142,632,False
train,1106,793,158,635,False
train,1107,529,121,408,False
train,1108,802,146,656,False
train,1109,778,125,653,False
train,1110,436,128,308,False
train,1111,943,141,802,False
train,1112,524,135,389,False
train,1113,874,162,712,False
train,1114,685,150,535,False
train,1115,503,151,352,False
train,1116,359,118,241,False
train,1117,922,174,748,False
train,1118,1309,123,901,True
train,1119,984,164,820,False
train,1120,677,156,521,False
train,1121,888,145,743,False
train,1122,762,139,623,False
train,1123,868,150,718,False
train,1124,649,125,524,False
train,1125,671,139,532,False
train,1126,476,133,343,False
train,1127,498,142,356,False
train,1128,987,124,863,False
train,1129,782,140,642,False
train,1130,522,129,393,False
train,1131,491,127,364,False
train,1132,698,166,532,False
train,1133,1455,135,889,True
train,1134,1206,137,887,True
